a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,3.0,0.5,12.0,1.8967984074273723,0.9405295138164104,1.0712387666558076,47.415453429087194,0.0,10.901419667310485,0.0
0.1,3.0,1.0,3.0,0.5,14.0,-1.0062740208914721e-28,5.013367542961603e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,0.5,14.0,-2.7737123697704693e-17,0.718027220614292,1.1104778049020896,-6.502215726977162,0.0,10.8927151177577,0.0
0.1,3.0,1.0,3.0,0.5,14.0,1.2032316532069538,1.9752650450756592e-21,0.9482940567400308,7.400237144093805,0.0,-11.49356215900117,0.0
0.1,3.0,1.0,3.0,0.5,14.0,1.9002267076697925,0.9454799303561072,1.0625975804176986,47.41233058773772,0.0,10.751382502241217,0.0
0.1,3.0,1.0,3.0,1.0,4.0,-5.733410087785396e-29,5.096864426867108e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,1.0,4.0,3.4848016769799705e-26,0.6203175229988641,1.2885953720045848,-5.593070965267443,0.0,12.601158018973939,0.0
0.1,3.0,1.0,3.0,1.0,4.0,1.1226015686847435,1.3781118828439196e-27,0.6849414294966383,6.143079051258602,0.0,-12.645138951967256,0.0
0.1,3.0,1.0,3.0,1.0,4.0,1.9761255473525898,1.052980236814357,0.8553074896163214,62.55487316698756,0.0,12.325940167190861,0.0
0.1,3.0,1.0,3.0,1.0,6.0,-7.836087137067355e-29,5.0535009401223354e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,1.0,6.0,1.692021066068072e-22,0.6606513798343442,1.2182301228385115,-5.944708339676975,0.0,11.858000504577687,0.0
0.1,3.0,1.0,3.0,1.0,6.0,1.1506983261457862,-1.536848884448678e-30,0.7793155603675477,6.597855073475771,0.0,-12.277840552875132,0.0
0.1,3.0,1.0,3.0,1.0,6.0,1.9632400439348052,1.0349692341226842,0.8931954127720584,58.08578831441231,0.0,11.587497452868565,0.0
0.1,3.0,1.0,3.0,1.0,8.0,-9.006025480926639e-29,5.031909373412177e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,1.0,8.0,7.117750230525288e-21,0.6840537753671422,1.1754735878477653,-6.163978333205462,0.0,11.449960473267264,0.0
0.1,3.0,1.0,3.0,1.0,8.0,1.1662085912955766,1.445096683820386e-31,0.8299946901985483,6.84043773323512,0.0,-12.059757745551241,0.0
0.1,3.0,1.0,3.0,1.0,8.0,1.9555048044917915,1.0241163732260186,0.9153054996672951,55.71331523772345,0.0,11.18075083798744,0.0
0.1,3.0,1.0,3.0,1.0,10.0,-9.745929547887881e-29,5.018984774948649e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,1.0,10.0,-9.985416746949857e-20,0.6993236796618852,1.1467160826807516,-6.313085654269633,0.0,11.194027151605843,0.0
0.1,3.0,1.0,3.0,1.0,10.0,1.1760297923662497,1.0884655451043567e-30,0.8616953927466995,6.991411841423456,0.0,-11.915897112831756,0.0
0.1,3.0,1.0,3.0,1.0,10.0,1.9503441405437008,1.0168576295365441,0.9298156049686892,54.2369896811084,0.0,10.92336112695246,0.0
0.1,3.0,1.0,3.0,1.0,12.0,-1.0255051536099078e-28,5.010379929498305e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,1.0,12.0,-3.2454598837592083e-18,0.7100646385799391,1.1260479477404148,-6.420824080905228,0.0,11.019280744805252,0.0
0.1,3.0,1.0,3.0,1.0,12.0,1.1828046075997962,2.1676974673547557e-27,0.8834144383533911,7.0944651390028435,0.0,-11.814016446548173,0.0
0.1,3.0,1.0,3.0,1.0,12.0,1.946655613616683,1.0116602667074703,0.9400751173065455,53.228278056169884,0.0,10.745889866953897,0.0
0.1,3.0,1.0,3.0,1.0,14.0,-1.0626392496088811e-28,5.004238795262579e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,1.0,14.0,-2.761080494636172e-17,0.718027220614292,1.1104778049020896,-6.50221572697716,0.0,10.8927151177577,0.0
0.1,3.0,1.0,3.0,1.0,14.0,1.1877595062381372,4.0492890080318e-30,0.8992305253814955,7.1693000354463585,0.0,-11.738125012514065,0.0
0.1,3.0,1.0,3.0,1.0,14.0,1.9438878188869102,1.0077550575602434,0.9477150654069886,52.49489015128687,0.0,10.616146605083479,0.0
0.1,3.0,1.0,3.0,3.0,4.0,-1.3137244216473464e-28,4.968660724702852e-24,1.0,-0.9999999966666667,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,3.0,4.0,3.404927045136014e-26,0.6203175229988641,1.2885953720045848,-5.593070965267443,0.0,12.601158018973939,0.0
0.1,3.0,1.0,3.0,3.0,4.0,1.016347688373971,7.073633646278863e-25,0.22527803225266396,3.960326488863007,0.0,-13.732141634863806,0.0
0.1,3.0,1.0,3.0,3.0,6.0,-1.308855008709517e-28,4.9682735419098085e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,3.0,6.0,1.6684971076566365e-22,0.6606513798343442,1.2182301228385115,-5.944708339676976,0.0,11.858000504577687,0.0
0.1,3.0,1.0,3.0,3.0,6.0,1.0575580906040547,2.704362632294171e-26,0.440785442498953,4.964718071193561,0.0,-13.364761994944555,0.0
0.1,3.0,1.0,3.0,3.0,6.0,8.082136196011282e-23,-2.386897723768043,3.848640371864532,-73.03824190952328,0.0,100.2446073345326,0.0
0.1,3.0,1.0,3.0,3.0,8.0,-1.3064014943309893e-28,4.968080073772803e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,3.0,8.0,7.080284764890318e-21,0.6840537753671422,1.1754735878477653,-6.163978333205462,0.0,11.449960473267264,0.0
0.1,3.0,1.0,3.0,3.0,8.0,1.0868069676771626,3.914387611831434e-29,0.5570689806281391,5.524293276169605,0.0,-13.063072866159583,0.0
0.1,3.0,1.0,3.0,3.0,8.0,-2.234066705360389e-24,-2.8854480823826933,4.122178988547236,-102.08214431149435,0.0,116.58508770152429,0.0
0.1,3.0,1.0,3.0,3.0,10.0,-1.3049320097834218e-28,4.96796332235883e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,3.0,10.0,-9.622015624339998e-20,0.6993236796618851,1.1467160826807516,-6.313085654269629,0.0,11.19402724477447,0.0
0.1,3.0,1.0,3.0,3.0,10.0,1.107431404441753,1.67720629179461e-24,0.63207870533685,5.887319652570388,0.0,-12.82896859308151,0.0
0.1,3.0,1.0,3.0,3.0,10.0,2.120002011915244,1.2501723000811569,0.12055667480965848,69.00900994233983,0.0,11.750988893430993,0.0
0.1,3.0,1.0,3.0,3.0,10.0,-2.793350154500361e-24,-3.3466177300156037,4.359955069256438,-133.47167756193755,0.0,131.88341026046476,0.0
0.1,3.0,1.0,3.0,3.0,12.0,-1.30394785958184e-28,4.967886704243411e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,3.0,12.0,-3.176373345408473e-18,0.7100646385799391,1.1260479477404148,-6.420824080905228,0.0,11.019280744805252,0.0
0.1,3.0,1.0,3.0,3.0,12.0,1.1226015686847435,1.381259382003783e-27,0.6849414294966383,6.14307904502691,0.0,-12.645138951967256,0.0
0.1,3.0,1.0,3.0,3.0,12.0,-1.0283847692129774e-17,-3.7800336904321568,4.572163675200537,-166.934731711688,0.0,146.396153925427,0.0
0.1,3.0,1.0,3.0,3.0,12.0,2.1080843251664967,1.234021664868104,0.26969748683779093,69.19242673799647,0.0,11.225469159390798,0.0
0.1,3.0,1.0,3.0,3.0,14.0,-1.3032441127430987e-28,4.967831138853399e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,3.0,14.0,-2.7112206942894357e-17,0.718027220614292,1.1104778049020896,-6.50221572697716,0.0,10.8927151177577,0.0
0.1,3.0,1.0,3.0,3.0,14.0,1.134191442905941,5.146625186155767e-32,0.7243449508940585,6.333340833434572,0.0,-12.497901814722036,0.0
0.1,3.0,1.0,3.0,3.0,14.0,2.0939688006915236,1.2148636585725932,0.3766832222823331,68.2408313913584,0.0,10.901293264742156,0.0
0.1,3.0,1.0,3.0,5.0,4.0,-2.3507628863585956e-28,4.84251585089361e-24,1.0,-0.9999999966666667,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,5.0,4.0,3.326551249011978e-26,0.6203175229988641,1.2885953720045848,-5.593070965267442,0.0,12.601158018973939,0.0
0.1,3.0,1.0,3.0,5.0,4.0,-4.3529147534869126e-26,-1.8329892812916482,3.5198872789975546,-46.72727044198883,0.0,82.38780783321921,0.0
0.1,3.0,1.0,3.0,5.0,6.0,-1.9659691853366958e-28,4.8839618632968235e-24,1.0,-0.9999999966666667,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,5.0,6.0,1.645296771542959e-22,0.6606513798343442,1.2182301228385115,-5.944708339676975,0.0,11.858000504577687,0.0
0.1,3.0,1.0,3.0,5.0,6.0,1.0077477113925568,1.3106719599080012e-26,0.15370379181922011,3.6430618755441264,0.0,-13.800636334805713,0.0
0.1,3.0,1.0,3.0,5.0,8.0,-1.7863870513785233e-28,4.904765111443633e-24,1.0,-0.9999999966666667,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,5.0,8.0,7.037209980726473e-21,0.6840537753671422,1.1754735878477653,-6.163978333205463,0.0,11.449960473267264,0.0
0.1,3.0,1.0,3.0,5.0,8.0,1.0341450854511647,-1.159379921944831e-30,0.331589963898252,4.448316843835714,0.0,-13.581541639070338,0.0
0.1,3.0,1.0,3.0,5.0,10.0,-1.6827448767953363e-28,4.9172735364758504e-24,1.0,-0.9999999966666671,0.0,-10.119999868799999,0.0
0.1,3.0,1.0,3.0,5.0,10.0,-9.275246001921283e-20,0.6993236796618852,1.1467160826807516,-6.313085654269633,0.0,11.194027151605843,0.0
0.1,3.0,1.0,3.0,5.0,10.0,1.0575580906040547,2.7085289965428637e-26,0.440785442498953,4.964718074128874,0.0,-13.364761994944555,0.0
