rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable,max_real
6.5,5.0,3.5,5.08,10.92,2.9570950157757224e-19,2.030784367756001e-19,1.0,-57.01,0.0,16.619999999999997,0.0,True,16.619999999999997
5.84,5.0,3.5,3.0,9.0,3.009820735866074e-19,1.5985259521473578e-19,1.0,-50.1648,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,5.08,9.0,3.3461577366794197e-19,2.29735979913998e-19,1.0,-57.01,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,3.0,12.5,4.0941886029680306e-19,1.4392331643368643e-19,1.0,-54.93,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,3.0,10.92,4.2204793723418444e-19,1.495295815028786e-19,1.0,-54.93,0.0,16.619999999999997,0.0,True,16.619999999999997
6.5,5.0,3.5,3.0,9.0,4.441124372367595e-19,1.5941641900032745e-19,1.0,-54.93,0.0,16.619999999999997,0.0,True,16.619999999999997
5.0,9.0,5.4,7.0,12.5,2.1791385805384043e-20,4.5419522929767816e-20,1.0,-52.1,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,5.08,12.5,2.4638420304756522e-20,3.199781147951743e-20,1.0,-50.18000000000001,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,7.0,10.92,2.67108781125523e-20,5.3090110921639824e-20,1.0,-52.1,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,7.0,12.5,2.7586950430744755e-20,4.0023236528161246e-20,1.0,-50.7,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,5.08,10.92,2.8143726993523905e-20,3.583579138906353e-20,1.0,-50.18,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,3.0,12.5,3.1800422274672697e-20,2.1432883385302216e-20,1.0,-48.1,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,7.0,10.92,3.2726043034674503e-20,4.6078045939065256e-20,1.0,-50.7,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,5.08,12.5,3.331634383827549e-20,2.800701399076999e-20,1.0,-48.78,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,3.0,10.92,3.38048222627629e-20,2.2774035175625125e-20,1.0,-48.1,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,5.08,9.0,3.506214971854057e-20,4.3219964862664786e-20,1.0,-50.18,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,5.08,10.92,3.692726105408865e-20,3.083377206381855e-20,1.0,-48.78,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,7.0,9.0,3.722704213251167e-20,6.852536254419041e-20,1.0,-52.1,0.0,18.52,0.0,True,18.52
5.0,9.0,5.4,3.0,9.0,3.7443011397189733e-20,2.5206642494585734e-20,1.0,-48.1,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,7.0,9.0,4.331276418763558e-20,5.807461082000487e-20,1.0,-50.7,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,5.08,9.0,4.380794245196724e-20,3.617003778781388e-20,1.0,-48.78,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,3.0,12.5,4.6841141056778165e-20,1.8611065373812317e-20,1.0,-46.7,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,7.0,12.5,4.72612534883142e-20,3.14253007136413e-20,1.0,-48.1,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,7.0,12.5,4.8343824499405844e-20,4.512902420722258e-20,1.0,-58.1648,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,3.0,10.92,4.859541584479911e-20,1.9397118792491407e-20,1.0,-46.7,0.0,18.52,0.0,True,18.52
5.0,7.6,5.4,3.0,9.0,5.1688483262030696e-20,2.0791318790252464e-20,1.0,-46.7,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,7.0,10.92,5.2941557684678396e-20,3.510861481230489e-20,1.0,-48.1,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,5.08,12.5,5.534967189489563e-20,3.1823598679901953e-20,1.0,-56.2448,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,7.0,10.92,5.764283546494926e-20,5.267376442371289e-20,1.0,-58.1648,0.0,18.52,0.0,True,18.52
5.84,7.6,5.4,7.0,12.5,6.049001132819596e-20,3.9758547617873514e-20,1.0,-56.7648,0.0,18.52,0.0,True,18.52
5.84,9.0,5.4,5.08,10.92,6.20283031190482e-20,3.560470749895433e-20,1.0,-56.2448,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,7.0,9.0,6.389334336876239e-20,4.2174499041277257e-20,1.0,-48.1,0.0,18.52,0.0,True,18.52
5.0,5.0,5.4,5.08,12.5,6.567565586369847e-20,2.1699125278722403e-20,1.0,-46.18,0.0,18.52,0.0,True,18.52
