rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
4.5,3.0,9.0,3.0,12.0,1.3337118790920051e-27,2.676691977575761e-21,1.0,-6.0,0.0,-4.119999999999999,0.0,False
4.5,3.0,9.0,5.0,8.0,3.436158953591603e-21,0.2299695223744137,1.0594967288737556,-9.559896902136938,0.0,5.2865173598878865,0.0,True
4.5,3.0,9.0,5.0,8.0,1.0316698340789334,1.9257907688131713e-21,0.13522159967938108,8.62902296515402,0.0,-19.1818405531298,0.0,True
4.5,3.0,9.0,5.0,8.0,8.961353475681267e-28,1.071194684651687e-19,1.0,-8.0,0.0,-4.119999999999999,0.0,False
4.5,3.0,9.0,5.0,10.0,4.9432657144419775e-24,0.24065193207714458,1.0521220171712165,-9.490416254572025,0.0,5.131547335279803,0.0,True
4.5,3.0,9.0,5.0,10.0,1.0880515686672565,2.280905100726833e-22,0.23049345954846956,11.2772598841474,0.0,-19.56741375001218,0.0,True
4.5,3.0,9.0,5.0,10.0,1.173725827710034e-24,-0.8425586738439835,1.638914606982759,-29.268888814663875,0.0,26.642183551119857,0.0,True
4.5,3.0,9.0,5.0,12.0,8.915575528497524e-19,0.24883355495125106,1.046438603552258,-9.438892801278861,0.0,5.0141215492375295,0.0,True
4.5,3.0,9.0,5.0,12.0,1.1399234594650738,2.2314099167473487e-19,0.296144524387305,12.956117836108747,0.0,-19.93232492269586,0.0,True
4.5,3.0,9.0,5.0,12.0,-0.5884485213027328,-1.7260662973898809e-19,0.8124361829623398,12.510789260440813,0.0,-9.205216261528983,0.0,True
4.5,5.0,5.0,1.0,8.0,2.163908729665834e-22,1.0932375438646036e-18,1.0,-6.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,1.0,8.0,2.907818289468999e-22,0.49386061342077137,1.1524364409302128,-10.641783930455588,0.0,9.992917437154183,0.0,True
4.5,5.0,5.0,1.0,8.0,1.1789019511361694,-1.5525108640233132e-19,0.3919582079532081,12.536010840025446,0.0,-20.48223120688765,0.0,True
4.5,5.0,5.0,1.0,8.0,-0.5340589328614066,5.491452426019196e-18,0.8752167121010344,9.13370938505954,0.0,-10.958509355344301,0.0,True
4.5,5.0,5.0,1.0,10.0,3.1207299545219776e-23,5.615826243097509e-19,1.0,-6.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,1.0,10.0,8.521565601795265e-24,0.5123140996718911,1.1312328683613102,-10.554751289245665,0.0,9.690659669688154,0.0,True
4.5,5.0,5.0,1.0,10.0,1.2392953500425947,-2.776510932402287e-24,0.46245146237698087,13.628884118462311,0.0,-21.035433067854562,0.0,True
4.5,5.0,5.0,1.0,10.0,-0.5502735321821809,-2.2854983765072032e-20,0.8940196639229112,9.111426707209326,0.0,-10.895029819884307,0.0,True
4.5,5.0,5.0,1.0,10.0,8.540523704284762e-26,-1.8669753268093443,2.7427984354574293,-83.33980125051318,0.0,71.10818015406726,0.0,True
4.5,5.0,5.0,1.0,12.0,9.18952805126482e-24,3.577828343412163e-19,1.0,-6.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,1.0,12.0,5.405791626467293e-25,0.5259785668241678,1.1152722719826689,-10.49511528615243,0.0,9.472038170147393,0.0,True
4.5,5.0,5.0,1.0,12.0,1.2885787777539859,-1.2458867562683692e-20,0.5157063806105961,14.36842899665138,0.0,-21.50378095388364,0.0,True
4.5,5.0,5.0,1.0,12.0,-0.5621945763059728,1.0004204706997927e-17,0.9078150336918764,9.089968140728548,0.0,-10.848326361538021,0.0,True
4.5,5.0,5.0,3.0,8.0,7.265733602651824e-25,2.613392876336387e-19,1.0,-8.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,3.0,8.0,5.555127097902337e-23,0.4938606134207713,1.1524364409302128,-13.298003431223378,0.0,9.99291743715418,0.0,True
4.5,5.0,5.0,3.0,8.0,1.0729302597750823,-1.9005168396293475e-24,0.20856420214054494,10.688905409430506,0.0,-19.63690402062239,0.0,True
4.5,5.0,5.0,3.0,8.0,6.871749947526286e-20,-1.6079653733253536,2.61597040113334,-83.08406607112006,0.0,63.45010907141911,0.0,True
4.5,5.0,5.0,3.0,10.0,2.0208919724518515e-25,1.6249589609858873e-19,1.0,-8.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,3.0,10.0,1.4698980339413132e-24,0.5123140996718911,1.1312328683613102,-13.114126894167581,0.0,9.690659669688154,0.0,True
4.5,5.0,5.0,3.0,10.0,1.135453111771711,3.6173949502918266e-22,0.290910427032366,12.826997553941757,0.0,-20.23899016605679,0.0,True
4.5,5.0,5.0,3.0,10.0,6.991802392870926e-25,-1.8669753268093443,2.7427984354574293,-98.38568776560862,0.0,71.10818015406726,0.0,True
4.5,5.0,5.0,3.0,12.0,9.5332672512041e-26,1.2003842454742947e-19,1.0,-8.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,3.0,12.0,2.578695648169508e-17,0.5259785668241678,1.1152722719826689,-12.982779767459201,0.0,9.472038170147393,0.0,True
4.5,5.0,5.0,3.0,12.0,1.1899148981165912,-3.399447878290868e-19,0.3510469953184169,14.25834297725482,0.0,-20.78683020423449,0.0,True
4.5,5.0,5.0,3.0,12.0,-0.6071252868838662,-1.0239901119175074e-21,0.8310578227620006,12.533938128841381,0.0,-11.823030992877245,0.0,True
4.5,5.0,5.0,3.0,12.0,-4.986400825954689e-24,-2.11126322250974,2.857263497800922,-114.16509661307992,0.0,78.43405048196496,0.0,True
4.5,5.0,5.0,5.0,8.0,1.5303481708559753e-26,4.8241000052372464e-20,1.0,-10.0,0.0,-8.12,0.0,False
4.5,5.0,5.0,5.0,8.0,1.1940989100052266e-23,0.4938606134207713,1.1524364409302128,-15.954222931991172,0.0,9.99291743715418,0.0,True
4.5,5.0,5.0,5.0,8.0,1.0058604133286162,2.13428047090649e-22,0.051479527092236355,6.52399572431729,0.0,-19.025517042396242,0.0,True
