a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,unstable
0.1,4.5,3.0,3.0,0.5,10.0,7.534956018859062e-22,1.218515099844529e-27,1.0,-3.5000000000000004,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,0.5,10.0,1.23854008860703,-2.3989546389616256e-20,0.6932036897826581,15.221350354978076,0.0,-20.652198007272375,0.0,True
0.1,4.5,3.0,3.0,0.5,10.0,-7.873354258439249e-19,0.6993236796618852,1.1467160826807516,-9.962379763912207,0.0,11.19402697633918,0.0,True
0.1,4.5,3.0,3.0,0.5,10.0,-6.4603270795009e-27,-3.3466177300156037,4.359955069256438,-189.28258725094074,0.0,131.88341302233692,0.0,True
0.1,4.5,3.0,3.0,1.0,4.0,1.0655581203597235,2.2856766969371066e-20,0.2903661825846582,9.48782831429467,0.0,-19.509234971041238,0.0,True
0.1,4.5,3.0,3.0,1.0,4.0,6.944527930973294e-25,-4.186817193293992e-25,1.0,-4.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,1.0,4.0,-8.782590406217261e-24,0.6203175229988641,1.2885953720045848,-10.85925250056687,0.0,12.601157830709688,0.0,True
0.1,4.5,3.0,3.0,1.0,4.0,-3.266434456982471e-23,-1.8329892812916482,3.5198872789975546,-86.38237859781285,0.0,82.38781076366864,0.0,True
0.1,4.5,3.0,3.0,1.0,6.0,1.1410019055011227,2.0598686984646064e-21,0.4575477715178363,12.50273200186506,0.0,-20.107979398226764,0.0,True
0.1,4.5,3.0,3.0,1.0,6.0,3.2560356980834284e-19,1.1994233653328893e-18,1.0,-4.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,1.0,6.0,-1.753154766084502e-19,0.6606513798343443,1.2182301228385115,-10.719942821384713,0.0,11.858000215658079,0.0,True
0.1,4.5,3.0,3.0,1.0,8.0,1.190904978734152,-5.503694155742833e-23,0.5567954161331903,14.278137813745015,0.0,-20.486726403705877,0.0,True
0.1,4.5,3.0,3.0,1.0,8.0,1.501299529742154e-24,1.0623300140886969e-21,1.0,-4.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,1.0,8.0,-1.8557336600294016e-21,0.6840537753671423,1.1754735878477653,-10.655460683741481,0.0,11.4499603473761,0.0,True
0.1,4.5,3.0,3.0,1.0,10.0,4.611846243615899e-19,-1.6842545328711662e-25,1.0,-4.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,1.0,10.0,1.2258985336173431,1.4314196669597348e-25,0.6242931963187119,15.469374308591044,0.0,-20.74231322123264,0.0,True
0.1,4.5,3.0,3.0,1.0,10.0,-8.082918746029261e-23,0.6993236796618854,1.1467160826807519,-10.619858651051555,0.0,11.194026976339183,0.0,True
0.1,4.5,3.0,3.0,3.0,4.0,1.8760373574641412e-19,3.857087158731982e-67,1.0,-6.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,3.0,4.0,-4.585545890132063e-25,0.6203175229988641,1.2885953720045848,-14.180208566070139,0.0,12.601157830709688,0.0,True
0.1,4.5,3.0,3.0,3.0,4.0,2.851300764066415e-27,-1.8329892812916482,3.5198872789975546,-111.16159151151045,0.0,82.38781076366864,0.0,True
0.1,4.5,3.0,3.0,3.0,6.0,1.0420825784022654,-2.4143414262013336e-19,0.18554792484286475,9.177147974497862,0.0,-19.369442088985174,0.0,True
0.1,4.5,3.0,3.0,3.0,6.0,-9.872969785180118e-28,2.5179986276228786e-19,1.0,-6.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,3.0,6.0,-6.841088688664418e-20,0.6606513798343443,1.2182301228385115,-13.688112085766981,0.0,11.858000215658079,0.0,True
0.1,4.5,3.0,3.0,3.0,6.0,-2.4273054660503592e-18,-2.386897723768044,3.848640371864535,-151.31439322294412,0.0,100.24460994513586,0.0,True
0.1,4.5,3.0,3.0,3.0,8.0,1.1054799697954802,2.2399425432597746e-19,0.3125766454643035,12.531607365514095,0.0,-19.976090409302092,0.0,True
0.1,4.5,3.0,3.0,3.0,8.0,-2.8761560937049475e-29,5.5911215785516464e-24,1.0,-6.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,3.0,8.0,-2.2897393331233497e-21,0.6840537753671423,1.1754735878477653,-13.418936995196876,0.0,11.4499603473761,0.0,True
0.1,4.5,3.0,3.0,3.0,8.0,-5.310453841766807e-26,-2.8854480823826933,4.122178988547236,-193.20504225366244,0.0,116.585088660016,0.0,True
0.1,4.5,3.0,3.0,3.0,10.0,1.1561054990975517,1.6050733451896564e-19,0.39853903373038047,14.807020729730903,0.0,-20.462492477284815,0.0,True
0.1,4.5,3.0,3.0,3.0,10.0,4.831665759395587e-22,2.3281636096557242e-17,1.0,-6.0,0.0,-10.12,0.0,False
0.1,4.5,3.0,3.0,3.0,10.0,-9.887489184908984e-23,0.6993236796618852,1.1467160826807516,-13.249774199608929,0.0,11.19402697633918,0.0,True
0.1,4.5,3.0,5.0,0.5,4.0,1.099591945310859,1.7723728475302993e-21,0.3954487769037406,10.53942531235904,0.0,-19.411350634452912,0.0,True
