mu,a,rc,beta,delta,eta,rd,ku,eps_u,umax,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag,eig3_real,eig3_imag,unstable
1.0,0.1,6.0,5.0,7.0,3.0,9.0,0.2,0.001,0.5,0.982651803561508,-7.703719777548943e-34,-0.10716488536937226,-5.281225144828379,0.0,5.797615061736052,0.0,7.551603471393909,0.0,True
1.0,0.1,6.0,5.0,7.0,3.0,11.0,0.2,0.001,0.5,-5.709848438281688e-23,0.0,8.318779321448205e-23,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,7.0,3.0,11.0,0.2,0.001,0.5,0.9910500453743515,2.9187853493177437e-29,-0.07733785041273059,-5.327363338990919,0.0,7.38157297990289,0.0,7.416113875991683,0.0,True
1.0,0.1,6.0,5.0,7.0,3.0,11.0,0.2,0.001,0.5,-2.2272698798010047e-26,1.0,3.0272063921313195e-25,-11.56,0.0,18.0,0.0,-13.119999999999996,0.0,True
1.0,0.1,6.0,5.0,7.0,3.0,11.0,0.2,0.001,0.5,-2.259249455744645e-19,-8.598129483027621e-24,1.0,-8.6,0.0,-11.0,0.0,20.119999999999997,0.0,True
1.0,0.1,6.0,5.0,7.0,5.0,9.0,0.2,0.001,0.5,-3.812038071508017e-19,0.0,6.631089244628284e-19,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,7.0,5.0,9.0,0.2,0.001,0.5,5.377885671945099e-23,1.0,7.416595076204212e-23,-11.56,0.0,15.999999999999998,0.0,-13.12,0.0,True
1.0,0.1,6.0,5.0,7.0,5.0,9.0,0.2,0.001,0.5,-5.83726882617952e-20,-1.1562235680211217e-26,1.0,-10.6,0.0,-9.0,0.0,20.119999999999997,0.0,True
1.0,0.1,6.0,5.0,7.0,5.0,9.0,0.2,0.001,0.5,0.958717185609577,-1.0622505126866687e-28,-0.14584291999419097,-5.288260075579313,0.0,5.317762541826572,0.0,7.891930045585607,0.0,True
1.0,0.1,6.0,5.0,7.0,5.0,11.0,0.2,0.001,0.5,-1.405914216172129e-24,0.0,2.048665459971726e-24,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,5.0,7.0,5.0,11.0,0.2,0.001,0.5,0.9804559398578203,-2.589959263173066e-18,-0.10161008958106674,-5.327246005613151,0.0,6.288447104409837,0.0,7.568703249618187,0.0,True
1.0,0.1,6.0,7.0,5.0,3.0,9.0,0.2,0.001,0.5,-1.6916987362400212e-20,-5.345529420184391e-51,2.940147571364674e-20,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,5.0,3.0,9.0,0.2,0.001,0.5,-5.3023549054840874e-18,-1.7968141060241002e-22,1.0,-10.6,0.0,-8.999999999999996,0.0,18.11999999999999,0.0,True
1.0,0.1,6.0,7.0,5.0,3.0,9.0,0.2,0.001,0.5,-6.162975822039155e-33,1.0,3.697785493223493e-32,-11.56,0.0,14.000000000000004,0.0,-13.120000000000003,0.0,True
1.0,0.1,6.0,7.0,5.0,3.0,9.0,0.2,0.001,0.5,0.9702670787627087,5.112434608426953e-23,-0.12460076045095192,-5.259867791665176,0.0,5.490207423197862,0.0,7.690330253360062,0.0,True
1.0,0.1,6.0,7.0,5.0,3.0,11.0,0.2,0.001,0.5,-2.0670932507176887e-24,0.0,3.011959288555208e-24,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,5.0,3.0,11.0,0.2,0.001,0.5,1.8875829408901775e-21,1.0,-9.454870856876588e-20,-11.56,0.0,15.999999999999995,0.0,-13.119999999999996,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,9.0,0.2,0.001,0.5,-5.778551281150472e-24,0.0,1.0043297417843548e-23,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,9.0,0.2,0.001,0.5,-4.6145207511808307e-26,-1.9372146901551298e-35,1.0,-12.6,0.0,-8.999999999999996,0.0,18.11999999999999,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,9.0,0.2,0.001,0.5,1.8488927466117464e-32,1.0,-7.888609052210118e-31,-11.56,0.0,14.000000000000004,0.0,-13.120000000000003,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,4.398688407512362e-27,1.0,3.6374376339740854e-27,-11.56,0.0,16.000000000000007,0.0,-13.120000000000005,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,0.9689876633845332,4.338734978715565e-30,-0.11608044178837601,-5.345387687996321,0.0,6.046265603954452,0.0,7.694591357849127,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,-1.097678366380671e-22,-1.5876226702205815e-34,1.0,-12.6,0.0,-11.0,0.0,18.119999999999997,0.0,True
1.0,0.1,6.0,7.0,5.0,5.0,11.0,0.2,0.001,0.5,0.0,-4.891190047859944e-24,-1.8115707779308796e-21,11.0,0.0,13.12,0.0,-0.6000000000000001,0.0,True
1.0,0.1,6.0,7.0,7.0,3.0,9.0,0.2,0.001,0.5,-1.3638867363678295e-22,0.0,2.3698078314790686e-22,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,7.0,3.0,9.0,0.2,0.001,0.5,2.154789339829298e-25,2.8142612793759596e-28,1.0,-10.6,0.0,-9.0,0.0,20.119999999999997,0.0,True
1.0,0.1,6.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,-3.6047787924979355e-26,0.0,5.255706894944469e-26,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,1.9081305176651267e-18,2.942088602370818e-19,1.0,-10.6,0.0,-10.999999999999996,0.0,20.11999999999999,0.0,True
1.0,0.1,6.0,7.0,7.0,3.0,11.0,0.2,0.001,0.5,1.678696006310313e-26,1.0,3.8067271842345146e-26,-11.56,0.0,18.000000000000004,0.0,-13.120000000000001,0.0,True
1.0,0.1,6.0,7.0,7.0,5.0,9.0,0.2,0.001,0.5,-2.195132166149731e-21,-1.135959703518257e-28,3.856312784547947e-21,-0.6000000000000001,0.0,9.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,7.0,5.0,9.0,0.2,0.001,0.5,-3.660314600225495e-28,1.0,1.2621774483536189e-27,-11.56,0.0,16.000000000000004,0.0,-13.120000000000001,0.0,True
1.0,0.1,6.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,8.689302871009445e-28,1.0,5.023466244447403e-27,-11.56,0.0,18.000000000000004,0.0,-13.120000000000001,0.0,True
1.0,0.1,6.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,-2.81843957645486e-18,0.0,4.1109993428581575e-18,-0.6000000000000001,0.0,11.0,0.0,13.12,0.0,True
1.0,0.1,6.0,7.0,7.0,5.0,11.0,0.2,0.001,0.5,1.0703264762038688e-26,-1.7721380899237367e-40,1.0,-12.6,0.0,-11.0,0.0,20.119999999999997,0.0,True
