a,rc,beta,delta,eta,rd,c_star,s_star,i_star,eig1_real,eig1_imag,eig2_real,eig2_imag
0.1,3.0,1.0,3.0,3.0,14.0,2.161145981003569e-24,1.5040921799693374,1.484777132681053,-25.62520048206759,0.0,-11.096257563451841,0.0
0.1,3.0,1.0,3.0,5.0,6.0,1.4338913070153115e-21,-1.6309876092850512e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,5.0,6.0,0.5169341926674628,-4.601665766694517e-20,0.7773158670426987,0.7949407331063686,0.0,14.734916230202945,0.0
0.1,3.0,1.0,3.0,5.0,6.0,0.9865884206565342,7.306712609399146e-24,0.18886940685537124,-1.9716075503967874,0.0,12.506730860625268,0.0
0.1,3.0,1.0,3.0,5.0,8.0,1.4271902681024828e-21,-1.6316522245976999e-25,1.0,-1.2999999670000004,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,5.0,8.0,0.6007262241237861,5.242855734500837e-25,0.7744550022812366,0.5158623582557362,0.0,14.652296243176272,0.0
0.1,3.0,1.0,3.0,5.0,8.0,0.8961133981567004,1.314888996596045e-31,0.49811298602753173,-0.8609554116816872,0.0,13.270115284804389,0.0
0.1,3.0,1.0,3.0,5.0,10.0,1.4231807279349596e-21,-1.6320491818703974e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,5.0,12.0,1.4205124406329294e-21,-1.632309413524483e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,5.0,12.0,3.374939545529927e-27,2.4968347342718866,2.5585459225666405,-70.55951451940666,0.0,15.092864540159281,0.0
0.1,3.0,1.0,3.0,5.0,12.0,2.389435227226383e-24,1.6387677623491246,1.671389944728689,-30.539965254848987,0.0,-8.03477993184918,0.0
0.1,3.0,1.0,3.0,5.0,14.0,1.4186087930508862e-21,-1.6324955045794295e-25,1.0,-1.299999967,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,5.0,14.0,1.460880529434991e-21,3.0514270233644116,2.9952586169111273,-104.4321084517284,0.0,31.681065585205783,0.0
0.1,3.0,1.0,3.0,5.0,14.0,2.6518103643028914e-24,1.5040921799693374,1.484777132681053,-25.62520048206759,0.0,-11.096257563451841,0.0
0.1,3.0,1.0,3.0,7.0,6.0,1.4606823044667272e-21,-1.628156245747769e-25,1.0,-1.2999999670000002,0.0,16.1199998688,0.0
0.1,3.0,1.0,3.0,7.0,6.0,0.45264549837875556,-4.922992285000637e-24,0.7609640615970227,0.9919934986377951,0.0,14.705581696996825,0.0
